1
100 100
25 44 6
49 94 99
26 6 711
5 40 897
64 27 867
64 38 10
44 63 8
21 54 4
44 29 10
70 90 105
90 11 446
63 60 533
59 26 734
82 3 4
43 41 828
54 24 5
56 55 3
25 34 7
79 23 629
49 35 451
58 13 142
9 14 630
53 28 328
41 69 6
0 69 4
91 55 4
69 75 82
4 63 10
54 92 291
0 88 2
71 64 5
41 32 75
85 0 6
69 44 7
7 25 3
8 85 142
36 58 512
96 72 286
82 55 8
79 97 392
69 9 6
52 0 52
91 12 5
85 39 6
75 80 677
42 10 138
87 45 815
91 77 8
0 5 10
28 37 915
76 26 46
96 42 343
0 55 5
33 81 9
85 95 4
97 39 35
96 2 487
93 60 209
48 44 3
30 85 8
62 74 7
42 89 857
95 84 7
53 63 1
36 17 1
83 20 287
22 95 3
65 17 617
98 56 4
68 78 432
49 57 594
46 82 6
42 91 3
75 67 567
85 50 298
78 41 1
81 83 415
36 63 9
63 71 7
57 8 455
3 31 835
66 82 1
86 63 1
0 0 1
44 15 825
56 45 9
40 73 355
5 1 222
34 61 262
86 99 178
34 62 1
0 16 191
7 54 5
25 18 10
34 11 213
47 29 9
6 78 1
9 51 242
19 56 582
7 33 1
